Unnamed: 0,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,Average GPA,Median Grade,Standard Deviation,Difference,Instructor Last Name
6558,MUS,408,0,27,15,15,7,3,0,0,1,0,1,1,0,1,"Tharp, Reynold",3.5,A-,0.64,,Tharp
6559,MUS,450,19,1,0,0,1,0,0,0,0,0,0,0,0,0,"Moorhouse, Linda",3.95,A+,0.21,,Moorhouse
6560,MUS,499,1,4,2,1,9,3,1,3,2,0,0,0,0,0,"Taylor, Stephen A",2.98,B,0.72,,Taylor
6561,MUS,499,4,26,8,6,14,0,0,0,0,0,0,0,0,0,"Blume, Philipp",3.64,A,0.42,,Blume
6562,MUS,499,0,24,12,2,5,1,0,0,1,0,0,0,0,1,"Tharp, Reynold",3.69,A,0.47,,Tharp
6563,MUS,499,2,5,7,4,7,0,0,0,0,0,0,0,0,0,"Yao, Chen",3.52,A-,0.39,,Yao
6564,MUS,499,0,13,5,5,2,1,1,0,0,0,0,0,0,1,"Magee, Jeffrey S",3.63,A-,0.46,,Magee
6565,MUS,499,3,5,3,3,10,0,0,0,0,0,0,0,0,0,"Browning, Zack D",3.46,B+,0.44,,Browning
6566,MUS,499,21,1,3,2,1,2,2,0,2,0,0,0,0,0,"Holden, Alexis L",3.59,A+,0.7,,Holden
6567,MUS,501,9,33,21,24,19,10,1,2,0,0,0,0,2,1,"Woller, Megan B",3.43,A-,0.5,,Woller
6568,MUSC,487,0,316,0,0,2,0,0,1,0,0,0,0,0,1,"Houser, Barry L",3.99,A,0.14,,Houser
6569,NPRE,101,2,27,34,17,30,21,17,11,1,0,0,1,2,0,"Ruzic, David N",3.11,B,0.66,,Ruzic
6570,NPRE,201,24,199,296,59,23,45,6,8,5,0,2,0,11,0,"Singer, Clifford E",3.55,A-,0.47,,Singer
6571,NPRE,201,11,98,64,69,72,19,14,11,1,1,1,0,2,0,"Andruczyk, Daniel",3.38,B+,0.57,,Andruczyk
6572,NPRE,201,4,196,47,12,4,2,1,1,0,0,0,0,0,0,"Allain, Jean Paul",3.87,A,0.28,,Allain
6573,NPRE,201,0,102,21,32,47,7,3,14,2,0,0,0,3,2,"Stubbins, James F",3.42,A-,0.61,,Stubbins
6574,NRES,100,43,83,29,31,24,16,11,14,5,4,6,2,18,2,"Ugarte, Carmen M",3.16,A-,0.82,,Ugarte
6575,NRES,102,0,13,8,11,8,6,0,7,3,2,0,0,0,0,"Marty, Timothy D",3.1,B+,0.79,,Marty
6576,NRES,102,112,231,216,183,150,122,77,67,47,25,24,19,113,5,"Ugarte, Carmen M",2.89,B+,0.84,,Ugarte
6577,NRES,102,300,993,701,525,442,233,130,120,46,31,25,13,53,18,"David, Mark B",3.36,A-,0.67,,David
6578,NRES,419,12,7,16,9,7,2,1,1,1,0,0,0,1,0,"Endress, Anton G",3.46,A-,0.53,,Endress
6579,NRES,454,18,20,16,6,3,2,1,3,1,0,0,0,3,0,"Allan, Kingsley M",3.49,A,0.57,,Allan
6580,NRES,454,41,53,15,7,20,4,0,3,1,0,2,0,0,2,"Stickley, Samuel F",3.66,A,0.59,,Stickley
6581,NRES,456,18,18,7,23,17,12,4,7,2,7,2,0,3,0,"Miller, James R",3.06,B+,0.82,,Miller
6582,NUTR,510,3,40,0,0,14,0,0,7,0,0,3,0,0,1,"Swanson, Kelly S",3.45,A,0.85,,Swanson
6583,PHIL,100,1,3,3,5,4,10,9,6,4,0,0,0,2,0,"Hegger, Ian M",2.6,B-,0.67,,Hegger
6584,PHIL,100,0,2,4,4,3,7,1,1,0,0,0,0,0,0,"Rokosz, Steven D",3.09,B,0.53,,Rokosz
6585,PHIL,100,0,9,13,8,2,6,1,2,2,2,1,1,0,0,"Ellis, Addison C",3.11,B+,0.88,,Ellis
6586,PHIL,100,0,3,5,15,4,9,5,1,1,1,0,1,0,0,"Li, Mingyuan",2.97,B+,0.68,,Li
6587,PHIL,100,0,2,6,4,4,1,0,1,0,1,0,0,2,0,"Tamura, Luke K",2.92,B+,0.68,,Tamura
6588,PHIL,100,0,4,5,3,3,4,1,0,0,1,1,0,0,0,"Higgins, Andrew A",3.12,B+,0.8,,Higgins
6589,PHIL,100,1,14,16,10,12,6,2,1,1,0,0,0,4,1,"Saenz, Noel B",3.17,B+,0.57,,Saenz
6590,PHIL,100,0,3,15,17,3,3,1,2,0,0,0,0,1,0,"Coulter, Richard B",3.27,B+,0.46,,Coulter
6591,PHIL,100,3,18,27,10,18,5,3,1,1,0,0,0,6,1,"Korman, Daniel Z",3.2,A-,0.55,,Korman
6592,PHIL,100,1,3,4,11,8,7,5,2,2,0,1,0,1,0,"Tanner, Travis C",2.89,B,0.66,,Tanner
6593,PHIL,100,4,26,11,1,2,0,0,1,1,0,0,0,3,1,"Madruga, Matthew J",3.54,A,0.52,,Madruga
6594,PHIL,101,1,35,44,27,45,36,18,7,2,1,0,2,0,1,"Hegger, Ian M",3.16,B,0.64,,Hegger
6595,PHIL,101,4,13,39,36,30,37,24,6,3,4,4,6,9,0,"O'Connell, Derek R",2.82,B,0.77,,O'Connell
6596,PHIL,101,2,10,19,22,9,8,2,1,1,0,0,0,1,1,"Garcia, Iker",3.3,B+,0.5,,Garcia
6597,PHIL,101,1,8,10,7,3,2,0,0,0,0,0,0,2,0,"Newton, Alexandra M",3.34,A-,0.44,,Newton
6598,PHIL,101,0,22,38,20,20,24,12,2,0,0,0,2,8,2,"Melnick, Arthur",3.05,B+,0.63,,Melnick
6599,PHIL,101,0,18,16,21,15,6,5,3,2,3,2,1,3,0,"Ben Moshe, Nir",3.05,B+,0.78,,Ben Moshe
6600,PHIL,101,0,8,10,10,17,9,1,1,3,0,0,0,0,0,"Whaley, Kristin S",3.16,B,0.58,,Whaley
6601,PHIL,101,0,32,16,14,20,6,13,5,3,6,0,1,3,0,"Bohall, Jordan M",3.05,B+,0.81,,Bohall
6602,PHIL,101,5,6,13,18,17,11,5,6,1,1,4,1,4,1,"Edwards, Adam D",2.86,B,0.78,,Edwards
6603,PHIL,101,0,11,9,10,17,7,5,4,0,0,0,0,4,0,"Osborne, Robert C",2.98,B,0.59,,Osborne
6604,PHIL,101,0,14,21,13,15,0,4,1,0,1,0,0,3,0,"Craw, John J",3.25,B+,0.54,,Craw
6605,PHIL,101,11,25,36,29,45,47,33,31,18,7,3,3,18,3,"Saenz, Noel B",2.67,B-,0.78,,Saenz
6606,PHIL,101,9,31,28,39,25,11,4,2,0,0,0,0,3,0,"Keller, James",3.36,B+,0.48,,Keller
6607,PHIL,101,0,6,21,27,20,11,4,10,1,2,0,0,2,0,"Remhof, Justin M",3.02,B+,0.61,,Remhof
6608,PHIL,101,0,6,14,7,9,4,4,0,0,1,1,0,1,1,"Anda, Ashli B",3.15,B+,0.65,,Anda
6609,PHIL,101,1,2,5,7,6,9,1,2,1,0,0,0,2,0,"Schaaf, Eric R",2.88,B,0.58,,Schaaf
6610,PHIL,101,0,14,17,13,18,7,2,2,0,0,0,0,3,0,"Harmon, Ian T",3.2,B+,0.51,,Harmon
6611,PHIL,101,0,4,3,7,1,4,4,1,0,0,0,0,0,0,"Bernal, Juan C",3.14,B+,0.61,,Bernal
6612,PHIL,101,1,19,17,17,29,7,3,7,0,0,0,1,3,0,"Dyschkant, Alexis N",3.14,B+,0.62,,Dyschkant
6613,PHIL,101,0,4,8,5,6,6,2,5,5,7,4,4,3,0,"Lee, Steven F",2.29,C+,1.03,,Lee
6614,PHIL,101,0,3,25,34,23,14,6,3,1,1,0,0,0,2,"Hensley, Ian M",3.15,B+,0.5,,Hensley
6615,PHIL,101,0,7,11,9,17,18,12,8,3,3,1,1,2,0,"Korman, Daniel Z",2.74,B-,0.72,,Korman
6616,PHIL,101,1,2,7,11,10,1,2,1,0,0,0,0,0,0,"Spino, Joseph M",3.25,B+,0.45,,Spino
6617,PHIL,101,1,26,39,22,14,7,3,3,1,0,0,0,0,0,"Wassell, Michael D",3.45,A-,0.51,,Wassell
6618,PHIL,101,2,24,17,15,31,5,6,8,6,0,5,2,2,7,"Anderson, Lucas J",3.0,B,0.85,,Anderson
6619,PHIL,101,2,19,7,3,5,2,2,2,0,0,0,0,3,0,"Meyer, Daniel W",3.3,A-,0.63,,Meyer
6620,PHIL,101,0,1,6,4,5,6,4,0,0,0,0,0,0,0,"Lee, Seungil",3.06,B,0.5,,Lee
6621,PHIL,101,0,2,9,9,8,1,6,0,2,0,0,0,1,0,"Fagan, Tyler K",3.03,B+,0.59,,Fagan
6622,PHIL,101,0,5,12,18,22,7,6,0,1,0,0,0,0,1,"Harper, Aaron M",3.16,B,0.47,,Harper
6623,PHIL,101,6,36,18,12,34,3,3,11,0,0,2,1,8,0,"Reese, Brian A",3.1,B+,0.73,,Reese
6624,PHIL,101,1,10,17,12,9,4,3,2,1,0,0,0,4,0,"Ross, Ryan D",3.12,B+,0.59,,Ross
