Unnamed: 0,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,Average GPA,Median Grade,Standard Deviation,Difference,Instructor Last Name
1173,BADM,567,178,1366,505,366,478,301,78,81,35,3,7,0,76,15,"Palekar, Udatta S",3.43,A-,0.59,,Palekar
1174,BADM,567,0,7,5,8,1,0,0,0,0,0,0,0,0,0,"Wang, Yixin",3.62,A-,0.31,,Wang
1175,BADM,567,2,88,10,5,2,0,0,0,0,0,0,0,0,0,"Cockrell, Adam L",3.92,A,0.21,,Cockrell
1176,BADM,567,0,57,43,27,12,4,1,1,0,0,0,0,0,0,"Scott, Nehemiah",3.63,A-,0.4,,Scott
1177,BADM,567,0,66,19,17,10,8,1,0,0,0,0,0,0,0,"Xu, Yuqian",3.67,A,0.44,,Xu
1178,BADM,572,602,2993,1202,725,1169,325,254,135,38,18,42,1,141,48,"Taghaboni-Dutta, Fataneh",3.48,A-,0.59,,Taghaboni-Dutta
1179,BADM,572,14,26,20,18,19,9,1,0,0,0,0,0,0,0,"Petry, Joseph A",3.52,A-,0.47,,Petry
1180,BADM,572,0,12,14,22,6,6,2,0,0,0,0,0,0,0,"Seshadri, Sridhar",3.41,B+,0.44,,Seshadri
1181,BADM,573,3,12,8,5,10,0,2,3,0,0,0,0,0,0,"Cohen, Susan I",3.41,A-,0.61,,Cohen
1182,BADM,574,12,36,2,6,3,0,0,0,0,0,0,0,0,0,"Venkateswaran, Venkatasub",3.87,A,0.29,,Venkateswaran
1183,BADM,574,18,114,170,132,84,13,1,1,0,0,0,0,1,0,"Kwon, Hyok-Jon D",3.53,A-,0.37,,Kwon
1184,BADM,589,45,250,37,26,23,9,1,0,0,0,0,0,0,0,"Venkateswaran, Venkatasub",3.83,A,0.34,,Venkateswaran
1185,BADM,589,63,435,208,153,121,46,23,14,4,1,3,0,11,4,"Taghaboni-Dutta, Fataneh",3.55,A-,0.52,,Taghaboni-Dutta
1186,BADM,589,6,10,9,4,5,1,0,0,0,0,0,0,0,0,"Pirim, Taner",3.66,A-,0.39,,Pirim
1187,BADM,589,3,16,12,11,28,16,8,10,5,3,3,0,0,0,"Durukan, Ayse",2.93,B,0.78,,Durukan
1188,BADM,589,24,42,22,13,6,3,5,5,0,4,1,0,1,1,"Kirci, Ismail",3.51,A,0.71,,Kirci
1189,BADM,590,2,92,54,26,7,0,1,0,0,0,1,0,1,0,"Michael, Steven C",3.72,A,0.36,,Michael
1190,BADM,590,13,13,7,8,4,2,0,0,0,0,0,0,0,0,"Clougherty, Joseph A",3.7,A,0.4,,Clougherty
1191,BADM,590,43,78,14,11,5,2,0,0,0,0,0,0,0,0,"Chhajed, Dilip",3.87,A,0.29,,Chhajed
1192,BADM,590,90,817,116,28,14,5,1,2,0,0,0,0,12,3,"Love, E G",3.88,A,0.22,,Love
1193,BADM,590,227,584,215,96,75,23,13,5,3,3,3,1,18,4,"Rindfleisch, Aric P",3.71,A,0.44,,Rindfleisch
1194,BADM,590,0,11,13,3,5,1,0,0,0,0,0,0,0,0,"Graebner, Melissa E",3.62,A-,0.38,,Graebner
1195,BADM,590,16,15,14,12,6,4,0,0,0,0,0,0,0,0,"Bao, Ying",3.64,A-,0.41,,Bao
1196,BADM,590,11,43,10,4,0,0,0,0,0,1,1,0,0,0,"Bucheli, Marcelo",3.83,A,0.49,,Bucheli
1197,BADM,590,9,67,39,48,23,1,0,0,0,0,0,0,0,0,"Lansing, Paul",3.63,A-,0.36,,Lansing
1198,BADM,590,1,178,102,22,13,4,1,2,0,0,1,0,0,0,"Larson, Eric",3.77,A,0.37,,Larson
1199,BADM,590,6,63,14,7,2,2,1,1,0,0,0,0,0,0,"Lamare, James R",3.82,A,0.38,,Lamare
1200,BADM,590,0,27,2,3,1,0,0,0,0,0,0,0,0,0,"Goncalo, Jack",3.89,A,0.26,,Goncalo
1201,BADM,590,51,62,47,17,0,0,0,0,0,0,0,0,0,0,"Grahovac, Jovan",3.85,A,0.22,,Grahovac
1202,BADM,590,24,70,16,12,16,4,0,0,0,0,2,0,0,0,"Cohen, Susan I",3.72,A,0.51,,Cohen
1203,BADM,590,9,7,1,6,1,1,0,0,0,0,0,0,0,0,"Leblebici, Huseyin",3.73,A,0.39,,Leblebici
1204,BADM,590,120,201,73,41,14,3,2,0,1,0,1,0,2,0,"Torelli, Carlos J",3.81,A,0.34,,Torelli
1205,BADM,590,2,63,3,3,1,0,0,0,0,0,0,0,0,0,"Noonan, James R",3.94,A,0.18,,Noonan
1206,BADM,590,32,55,36,28,7,6,0,0,0,0,0,0,0,0,"Somaya, Deepak",3.72,A,0.36,,Somaya
1207,BADM,590,8,118,38,17,12,8,0,0,0,0,0,0,0,0,"Echambadi, Rajagopal",3.77,A,0.37,,Echambadi
1208,BADM,590,448,544,281,151,72,27,9,14,7,1,1,0,6,0,"Loewenstein, Jeffrey",3.75,A,0.41,,Loewenstein
1209,BADM,590,701,646,96,38,21,13,2,1,2,0,0,1,39,1,"Hartman, Kevin E",3.83,A,0.27,,Hartman
1210,BADM,590,0,5,14,3,1,0,0,0,0,0,0,0,0,0,"White, Tiffany B",3.67,A-,0.24,,White
1211,BADM,590,0,15,9,3,0,0,0,0,0,0,0,0,0,0,"Miller, Douglas J",3.82,A,0.23,,Miller
1212,BADM,590,0,7,18,1,8,0,1,0,0,0,0,0,0,1,"Parthasarathy, Rangarajan",3.53,A-,0.4,,Parthasarathy
1213,BADM,590,28,28,10,10,4,0,8,0,0,0,0,0,0,0,"Carroll, Sandra",3.69,A,0.52,,Carroll
1214,BADM,590,7,3,0,3,6,2,6,1,3,1,0,2,0,0,"Shah, Sonali K",2.85,B,0.98,,Shah
1215,BADM,590,4,98,5,3,7,1,0,0,0,0,0,0,0,0,"Nelson, Matthew L",3.9,A,0.28,,Nelson
1216,BADM,590,14,56,12,3,0,1,0,0,0,0,1,0,0,0,"Hoetker, Glenn",3.88,A,0.37,,Hoetker
1217,BADM,590,11,151,51,17,8,0,1,0,0,0,0,0,0,0,"Murphy, Patrick J",3.84,A,0.27,,Murphy
1218,BADM,590,0,44,0,0,1,0,0,1,0,0,0,0,0,0,"Keating, Kari H",3.93,A,0.32,,Keating
1219,BADM,590,4,61,73,20,12,0,0,0,0,0,0,0,0,0,"Sethi, Simrun S",3.71,A-,0.29,,Sethi
1220,BADM,590,0,25,12,9,17,1,1,0,0,0,0,0,0,0,"Loyd, Denise L",3.54,A-,0.45,,Loyd
1221,BADM,590,98,291,137,36,22,5,1,4,1,0,1,1,13,1,"Parkinson, Thomas E",3.72,A,0.38,,Parkinson
1222,BADM,590,0,33,9,4,3,0,0,0,0,0,0,0,0,0,"Kim, June-Young",3.82,A,0.29,,Kim
1223,BADM,590,62,66,1,0,22,0,0,2,0,0,0,0,0,0,"Qualls, William J",3.83,A,0.41,,Qualls
1224,BADM,590,12,42,18,13,14,8,0,2,0,0,0,0,0,0,"Kraatz, Matthew S",3.6,A-,0.5,,Kraatz
1225,BADM,590,0,9,42,2,0,0,0,0,0,0,0,0,0,0,"Fang, Er",3.71,A-,0.14,,Fang
1226,BADM,590,0,81,0,0,16,0,0,1,0,0,0,0,0,1,"Sachdev, Vishal",3.82,A,0.41,,Sachdev
1227,BADM,590,0,334,37,21,8,3,0,0,0,0,0,0,4,0,"Yao, Mike Z",3.87,A,0.24,,Yao
1228,BADM,590,13,86,73,33,15,0,4,0,0,0,0,0,0,0,"Sleptsov, Alexander",3.7,A-,0.36,,Sleptsov
1229,BADM,590,1,12,2,1,0,0,0,0,0,1,0,0,9,0,"Clifton, Rhiannon L",2.46,A,1.17,,Clifton
1230,BADM,590,1,134,65,14,3,1,0,0,0,0,0,0,0,0,"Kim, Sung W",3.84,A,0.24,,Kim
1231,BADM,590,3,13,14,5,0,0,0,0,0,0,0,0,0,0,"White, B J",3.77,A-,0.24,,White
1232,BADM,590,44,18,2,2,0,0,0,0,0,0,0,0,0,0,"Liang, Hongyan",3.97,A+,0.13,,Liang
1233,BADM,590,73,22,7,1,1,0,0,0,1,0,0,0,0,0,"Watkins, Ronald S",3.94,A+,0.26,,Watkins
1234,BADM,590,16,4,4,8,0,0,0,0,0,0,0,0,0,0,"Ludwicki, Tomasz",3.79,A+,0.29,,Ludwicki
1235,BADM,590,330,34,3,3,4,1,0,0,0,0,0,0,33,1,"Seshadri, Sridhar",3.66,A+,0.33,,Seshadri
1236,BADM,590,1,5,5,5,3,3,0,0,0,0,0,0,0,0,"Anand, Gopesh J",3.46,A-,0.46,,Anand
1237,BADM,590,2,53,40,43,38,7,1,1,0,0,0,0,0,0,"Bercovitz, Janet E",3.5,A-,0.43,,Bercovitz
1238,BADM,590,6,33,19,3,0,0,0,0,0,0,0,0,0,0,"Subramanyam, Ramanath",3.86,A,0.19,,Subramanyam
1239,BADM,590,22,74,15,0,1,3,0,2,0,0,0,0,0,0,"Clarke, John F",3.88,A,0.35,,Clarke
1240,BADM,590,225,160,36,10,5,2,0,0,2,0,0,0,9,0,"Laney, Douglas B",3.85,A+,0.25,,Laney
1241,BADM,590,15,72,26,22,26,0,0,2,0,0,0,0,0,0,"Kurtz, Jeffrey M",3.67,A,0.42,,Kurtz
1242,BADM,590,4,62,0,0,0,1,0,0,0,0,0,0,0,0,"Yun, Joseph T",3.98,A,0.16,,Yun
1243,BADM,590,33,23,7,4,5,4,0,0,0,0,0,0,0,0,"Narang, Unnati",3.8,A,0.39,,Narang
1244,BADM,590,14,404,72,40,10,8,6,3,0,1,3,0,6,0,"Viswanathan, Madhubalan",3.78,A,0.41,,Viswanathan
1245,BADM,590,11,65,26,8,12,0,0,0,0,0,0,0,0,0,"Magelli, Paul J",3.79,A,0.33,,Magelli
1246,BADM,590,0,41,48,15,0,0,0,0,0,0,0,0,0,0,"Ghosh, Avijit",3.75,A-,0.23,,Ghosh
1247,BADM,590,5,73,4,2,2,0,0,1,0,0,0,0,0,0,"Agarwal-Tronett, Rajshree",3.92,A,0.28,,Agarwal-Tronett
1248,BADM,590,5,9,9,5,0,0,0,0,0,0,0,0,0,0,"Ye, Han",3.77,A,0.25,,Ye
1249,BADM,590,2,45,31,14,15,2,0,0,0,0,0,0,0,0,"Mahoney, Joseph T",3.66,A-,0.38,,Mahoney
1250,BCOG,100,4,14,0,3,6,0,0,3,0,0,0,0,1,0,"Lai, Melinh",3.42,A,0.65,,Lai
1251,BCOG,100,0,34,0,0,23,0,0,5,0,0,1,0,3,2,"Federmeier, Kara D",3.27,A,0.71,,Federmeier
1252,BCOG,100,2,13,0,4,8,0,0,3,0,0,1,0,3,0,"Yang, Runhan",3.07,B+,0.79,,Yang
1253,BDI,513,4,58,0,0,22,0,0,4,0,0,0,0,0,0,"Carrasco Kind, Matias",3.66,A,0.56,,Carrasco Kind
1254,BDI,513,8,6,2,4,1,0,0,0,0,0,0,0,0,0,"Bushell, Colleen B",3.79,A,0.32,,Bushell
1255,BIOC,455,38,4,1,1,1,0,0,0,0,0,0,1,0,0,"Buntrock, Dustin A",3.88,A+,0.51,,Buntrock
1256,BIOC,455,1,18,18,18,14,8,7,1,1,0,2,0,0,1,"Schurig Briccio, Lici A",3.27,B+,0.65,,Schurig Briccio
1257,BIOE,120,6,13,6,0,1,0,0,0,0,0,0,0,0,0,"Vozenilek, John A",3.89,A,0.22,,Vozenilek
1258,BIOE,120,53,54,44,5,4,1,0,2,0,0,0,0,0,0,"Amos, Jennifer",3.83,A,0.32,,Amos
1259,BIOE,201,14,50,16,12,6,2,0,0,1,0,0,0,0,0,"Pan, Dipanjan",3.76,A,0.4,,Pan
1260,BIOE,298,0,5,5,6,14,6,1,2,3,1,1,0,0,0,"Gentry, Kenneth",2.96,B,0.72,,Gentry
1261,BIOE,298,4,20,22,7,5,1,5,0,0,0,0,0,1,0,"Jensen, Paul",3.53,A-,0.49,,Jensen
1262,BIOE,398,7,10,8,1,2,0,0,0,0,0,0,0,0,0,"Ma, Jian",3.81,A,0.29,,Ma
1263,BIOE,498,3,11,6,3,2,0,0,0,0,0,0,0,0,0,"Jensen, Paul A",3.76,A,0.32,,Jensen
1264,BIOE,498,29,65,10,2,1,0,0,0,0,0,0,0,1,0,"Amos, Jennifer",3.91,A,0.16,,Amos
1265,BIOE,498,16,27,6,1,1,0,0,0,0,0,0,0,0,0,"Smith, Andrew M",3.93,A,0.19,,Smith
1266,BIOE,498,0,40,1,1,0,0,0,0,0,0,0,0,0,0,"Dobrucki, Wawrzyniec",3.98,A,0.11,,Dobrucki
1267,BIOP,401,26,35,22,10,5,1,1,0,0,0,0,0,0,0,"Wu, Nicholas Ching",3.78,A,0.34,,Wu
1268,BTW,250,0,31,23,5,3,4,3,1,1,0,0,0,0,0,"Tanyavutti, Eric",3.6,A-,0.55,,Tanyavutti
1269,BTW,250,0,7,16,12,6,1,0,0,0,0,0,0,1,0,"Smith, Julia M",3.43,A-,0.34,,Smith
1270,BTW,250,0,131,67,20,7,3,4,0,0,0,0,0,0,0,"Sunia, Patricia G",3.77,A,0.34,,Sunia
1271,BTW,250,12,6,23,17,6,2,0,0,0,0,0,0,0,0,"Gheba, Khaleel A",3.58,A-,0.35,,Gheba
1272,BTW,250,11,53,19,5,6,7,2,2,1,1,3,0,2,0,"Gabrieloff, Eduardo",3.52,A,0.71,,Gabrieloff
1273,BTW,250,2,13,8,1,0,0,0,0,0,0,0,0,0,0,"Ridgway, Franklin W",3.86,A,0.19,,Ridgway
1274,BTW,250,0,36,75,47,15,6,0,0,0,0,1,2,1,0,"Khatiblou, Roya",3.49,A-,0.48,,Khatiblou
1275,BTW,250,0,22,19,10,9,3,1,2,0,0,0,0,1,0,"Vredenburg, Jason",3.47,A-,0.5,,Vredenburg
1276,BTW,250,0,15,5,1,0,0,0,0,0,0,0,0,0,0,"Booth, Ashley E",3.89,A,0.19,,Booth
1277,BTW,250,0,4,6,10,2,0,0,0,0,1,0,0,0,0,"Mcwhorter, Sara L",3.42,B+,0.53,,Mcwhorter
1278,BTW,250,0,43,97,7,7,0,0,1,0,2,0,1,2,0,"Hine, Angela L",3.61,A-,0.44,,Hine
1279,BTW,250,0,53,69,35,14,5,2,0,2,0,3,2,3,0,"Don, Michael L",3.45,A-,0.6,,Don
1280,BTW,250,4,28,26,5,2,0,0,0,0,0,0,0,0,0,"Lown-Hecht, Tania E",3.79,A-,0.25,,Lown-Hecht
1281,BTW,250,0,51,64,34,19,6,2,4,0,0,0,0,1,1,"Im, Jane",3.52,A-,0.45,,Im
1282,BTW,250,0,37,3,3,0,0,0,0,1,0,0,0,0,0,"Grieve, Nolan R",3.88,A,0.38,,Grieve
1283,BTW,250,0,22,11,6,3,1,1,0,2,0,1,0,1,0,"Pedroza, Paul",3.47,A-,0.68,,Pedroza
1284,BTW,250,4,7,4,0,2,0,1,2,0,0,0,0,1,0,"Nafziger, Jason R",3.38,A,0.68,,Nafziger
1285,BTW,250,6,164,51,20,23,5,2,7,0,1,0,0,1,1,"Grohens, Joseph",3.7,A,0.48,,Grohens
1286,BTW,250,1,338,364,156,91,23,11,2,5,2,2,0,6,1,"Kelly, Daniel",3.58,A-,0.43,,Kelly
1287,BTW,250,11,7,2,0,0,0,0,0,0,0,0,0,2,0,"Roche, Daniel",3.61,A+,0.35,,Roche
1288,BTW,250,41,7,0,7,2,1,2,0,0,0,0,1,2,0,"Bales, Amanda M",3.64,A+,0.58,,Bales
1289,BTW,250,51,210,121,42,43,9,4,1,0,0,1,1,1,1,"Hapke, Gail L",3.71,A,0.42,,Hapke
1290,BTW,250,0,42,23,14,9,3,0,0,0,0,0,0,0,0,"Micks, Taylor H",3.67,A-,0.38,,Micks
1291,BTW,250,4,20,6,8,8,4,6,8,8,2,0,0,2,2,"Ballard, Shawn C",2.96,B+,0.88,,Ballard
1292,BTW,250,0,23,9,5,5,0,0,0,1,0,0,0,0,0,"Dudek, John",3.68,A,0.47,,Dudek
1293,BTW,250,1,1,5,11,1,0,1,2,0,0,0,0,0,0,"Emmert, Kay",3.29,B+,0.53,,Emmert
1294,BTW,250,5,25,27,10,5,4,3,5,0,0,0,0,3,1,"Schroeder, Erin A",3.39,A-,0.58,,Schroeder
1295,BTW,250,0,24,15,6,0,0,0,0,0,0,0,0,0,0,"Marks-Dubbs, Kaitlin",3.8,A,0.24,,Marks-Dubbs
1296,BTW,250,11,33,9,2,4,1,2,1,0,0,0,0,4,0,"Robb, Anna E",3.54,A,0.5,,Robb
1297,BTW,250,2,29,17,6,8,3,0,2,1,0,1,0,1,1,"Sanders, John T",3.5,A-,0.62,,Sanders
1298,BTW,250,0,52,8,0,1,2,0,0,1,0,0,0,1,0,"Burstein, Aaron K",3.81,A,0.39,,Burstein
1299,BTW,250,0,354,267,157,54,15,5,1,8,1,2,0,6,1,"McGuire, Lee",3.62,A-,0.43,,McGuire
1300,BTW,250,0,30,35,41,26,13,4,3,0,0,0,0,2,1,"Merrill, Andrew",3.33,B+,0.48,,Merrill
1301,BTW,250,0,25,41,21,5,2,0,0,0,0,0,0,0,0,"Sahn, Sarah F",3.62,A-,0.31,,Sahn
1302,BTW,250,3,29,23,17,12,1,2,2,0,0,0,0,0,0,"Gallagher, John",3.55,A-,0.47,,Gallagher
1303,BTW,250,14,135,53,22,15,5,4,1,1,0,0,0,3,0,"McVicker, Zachariah P",3.7,A,0.42,,McVicker
1304,BTW,250,0,20,15,2,2,1,1,0,1,0,0,0,0,0,"Piacentini, Dino E",3.68,A-,0.49,,Piacentini
1305,BTW,250,0,74,98,57,37,9,5,1,4,0,0,0,3,1,"Tienou, Debora",3.48,A-,0.46,,Tienou
1306,BTW,250,0,28,10,0,2,4,0,0,0,0,0,0,0,0,"Huang, Amy B",3.76,A,0.42,,Huang
1307,BTW,250,0,10,6,2,0,2,0,1,0,0,0,0,0,0,"Nelson, Katherine",3.62,A-,0.54,,Nelson
1308,BTW,250,3,51,30,18,5,6,0,0,0,0,1,0,0,0,"Liepert, Susan",3.67,A-,0.45,,Liepert
1309,BTW,250,5,21,10,5,4,1,0,0,0,0,0,0,0,0,"Hurley, Michael J",3.74,A,0.36,,Hurley
1310,BTW,250,0,195,112,65,52,16,5,9,5,0,4,1,4,0,"Moss, Andrew P",3.52,A-,0.57,,Moss
1311,BTW,250,0,46,16,17,7,2,0,0,0,0,0,0,0,0,"McQuiston, Erin M",3.7,A,0.37,,McQuiston
1312,BTW,250,4,30,25,6,1,2,0,0,0,0,0,0,0,0,"Sheets, Frank R",3.77,A,0.3,,Sheets
1313,BTW,250,0,124,27,4,2,2,0,2,0,0,0,0,1,0,"Girard, Melissa",3.85,A,0.31,,Girard
1314,BTW,250,25,12,0,3,2,0,0,0,0,0,0,0,0,0,"Avgoustopoulos, Rebecca",3.9,A+,0.27,,Avgoustopoulos
1315,BTW,250,5,43,24,9,10,0,0,0,0,0,0,0,0,0,"Mock, Charles",3.74,A,0.34,,Mock
1316,BTW,250,0,7,7,5,3,1,0,0,0,0,0,0,0,0,"Wetter, Timothy S",3.57,A-,0.39,,Wetter
1317,BTW,250,0,13,4,1,0,0,1,2,0,0,0,0,0,0,"Norcross, Katherine R",3.64,A,0.65,,Norcross
1318,BTW,250,0,22,0,0,0,1,0,0,0,0,0,0,0,0,"Kovanen, Bruce H",3.94,A,0.27,,Kovanen
1319,BTW,250,0,19,1,1,0,0,1,1,0,0,0,0,0,0,"Duda, Caroline C",3.8,A,0.53,,Duda
1320,BTW,250,12,245,49,23,12,2,2,2,0,0,1,0,0,1,"Claborn, John P",3.84,A,0.36,,Claborn
1321,BTW,250,0,11,49,12,6,3,3,3,3,0,1,0,3,0,"McLeer, Heather A",3.29,A-,0.61,,McLeer
1322,BTW,250,0,31,6,2,3,0,0,0,1,0,0,0,1,1,"Pincus, Alaina R",3.71,A,0.44,,Pincus
1323,BTW,250,5,7,48,21,14,11,4,1,0,0,0,0,0,0,"Nadolski, Esther D",3.39,A-,0.45,,Nadolski
1324,BTW,250,15,102,49,49,36,6,1,3,2,0,0,0,0,0,"Slobodnik, Sydney J",3.6,A-,0.47,,Slobodnik
1325,BTW,250,19,178,32,8,134,7,0,37,2,0,10,3,7,3,"Hechler, William D",3.3,A-,0.77,,Hechler
1326,BTW,250,0,15,16,10,4,1,0,0,0,0,0,0,0,0,"Bascom, Benjamin D",3.62,A-,0.35,,Bascom
1327,BTW,250,7,13,1,0,0,0,0,0,0,0,0,0,1,0,"Massen, Yael K",3.8,A,0.19,,Massen
1328,BTW,250,0,34,2,1,2,0,2,2,0,0,1,0,0,0,"Cheslow, Erin M",3.69,A,0.69,,Cheslow
1329,BTW,250,9,32,17,9,8,2,1,1,1,0,1,1,5,0,"Selznick, Hilary F",3.37,A-,0.67,,Selznick
1330,BTW,250,1,149,89,44,55,18,6,12,5,2,2,1,5,2,"Wilson, Gregory D",3.44,A-,0.62,,Wilson
1331,BTW,250,1,8,7,2,4,2,0,0,0,0,0,0,0,0,"Dettmar, Esther K",3.57,A-,0.45,,Dettmar
1332,BTW,250,0,34,48,31,4,0,1,0,0,0,0,0,0,0,"Gelston, Sara",3.64,A-,0.3,,Gelston
1333,BTW,250,0,15,89,38,34,7,3,0,4,0,0,0,1,0,"Williams, Kelly E",3.39,A-,0.44,,Williams
1334,BTW,250,1,159,16,7,7,1,0,0,1,0,0,0,1,0,"Minicucci, Matthew P",3.87,A,0.3,,Minicucci
1335,BTW,250,0,31,43,23,13,2,1,1,0,1,0,0,0,0,"Larsen, Linda",3.55,A-,0.44,,Larsen
1336,BTW,250,3,8,6,1,1,0,0,1,1,0,0,0,2,0,"Keener, Jamie R",3.31,A-,0.68,,Keener
1337,BTW,250,0,25,13,16,10,0,1,2,0,0,0,0,0,0,"Adamczyk, Laura",3.54,A-,0.48,,Adamczyk
1338,BTW,250,4,31,16,4,6,1,1,2,1,0,0,0,2,0,"Canipe, Joshua",3.54,A,0.54,,Canipe
1339,BTW,250,0,7,26,23,11,1,0,1,1,0,0,0,0,0,"Funk, Yevgeniya",3.42,B+,0.41,,Funk
1340,BTW,250,0,139,158,140,73,18,12,2,9,1,3,1,12,0,"Gilmore, Shawn P",3.38,A-,0.53,,Gilmore
1341,BTW,250,1,18,17,7,1,1,0,0,0,0,0,0,1,1,"Lozano, Jennifer M",3.64,A-,0.31,,Lozano
1342,BTW,250,1,41,62,25,20,11,1,2,1,0,0,0,1,0,"Dickison, Carrie N",3.49,A-,0.46,,Dickison
1343,BTW,250,4,17,34,30,28,17,8,4,3,0,0,0,4,0,"Emmert, Ashley",3.15,B+,0.56,,Emmert
1344,BTW,250,0,29,13,1,0,0,1,0,0,0,0,0,1,0,"Somers, Max J",3.76,A,0.3,,Somers
1345,BTW,250,0,37,25,16,19,3,3,6,0,0,0,0,0,0,"Ricketts, Scott",3.46,A-,0.56,,Ricketts
1346,BTW,250,0,12,7,3,1,0,0,0,0,0,0,0,0,0,"McQuiston, Erin S",3.77,A,0.29,,McQuiston
1347,BTW,250,0,10,41,27,3,4,0,0,0,0,0,0,2,0,"Williams, Lucilena D",3.45,A-,0.31,,Williams
1348,BTW,250,0,34,31,19,2,2,3,0,2,0,0,0,0,0,"Chapman, Kendra E",3.6,A-,0.48,,Chapman
1349,BTW,250,7,88,7,1,5,1,1,0,0,0,1,0,2,1,"Bowman, Andrew J",3.81,A,0.4,,Bowman
1350,BTW,250,4,73,7,6,4,0,1,0,0,0,0,0,0,0,"Irons, DeAvery V",3.87,A,0.3,,Irons
1351,BTW,250,0,11,4,14,9,4,1,0,0,0,0,0,0,0,"Erickson, Bruce",3.38,B+,0.46,,Erickson
1352,BTW,250,0,166,149,66,64,12,1,6,5,0,1,0,9,0,"Hudek, Barry A",3.5,A-,0.48,,Hudek
1353,BTW,250,1,54,35,15,7,2,1,0,0,0,0,0,0,0,"Mesnard, Natalie A",3.71,A-,0.35,,Mesnard
1354,BTW,250,0,0,5,5,5,5,1,1,1,0,0,0,0,0,"Hanson, Justin N",3.02,B,0.53,,Hanson
1355,BTW,250,0,57,47,44,7,6,0,0,0,0,0,0,1,0,"Walters, Kristin",3.61,A-,0.35,,Walters
1356,BTW,250,6,10,4,1,2,0,0,0,0,0,0,0,0,0,"Quaney, Kent J",3.83,A,0.31,,Quaney
1357,BTW,250,0,22,15,3,2,0,0,0,1,0,0,0,1,0,"O'Dell, Benjamin D",3.65,A,0.42,,O'Dell
1358,BTW,250,4,46,6,0,3,3,2,0,2,0,0,0,0,0,"Larabee, Melissa K",3.74,A,0.56,,Larabee
1359,BTW,250,10,7,3,0,0,1,0,1,0,0,0,0,0,0,"Short, Cassidy L",3.8,A,0.49,,Short
1360,BTW,250,0,19,53,29,16,6,5,2,1,0,1,1,1,0,"Chandler, Erin D",3.36,A-,0.56,,Chandler
1361,BTW,261,7,378,56,31,56,10,3,6,4,0,0,0,3,0,"Grohens, Joseph",3.73,A,0.46,,Grohens
1362,BTW,261,0,9,11,10,9,2,1,0,0,1,0,0,0,0,"Gilmore, Shawn P",3.39,B+,0.53,,Gilmore
1363,BTW,261,0,7,5,8,1,0,1,0,0,0,0,0,0,0,"Kelly, Daniel",3.56,A-,0.41,,Kelly
1364,BTW,261,34,216,35,9,105,11,3,17,6,0,6,3,9,2,"Hechler, William D",3.44,A,0.7,,Hechler
1365,BTW,261,0,22,1,0,0,1,0,1,0,0,0,0,0,0,"Claborn, John P",3.85,A,0.46,,Claborn
1366,BTW,261,1,4,5,4,5,3,1,0,0,0,0,0,0,0,"Ballard, Shawn C",3.35,B+,0.5,,Ballard
1367,BUS,101,1,357,83,49,19,6,1,3,2,0,1,0,3,0,"Baker, Colleen M",3.78,A,0.38,,Baker
1368,BUS,101,50,355,46,18,13,6,0,2,1,0,0,0,1,1,"Dahl, James G",3.88,A,0.3,,Dahl
1369,BUS,101,0,1096,105,42,31,11,8,5,2,4,3,4,5,3,"Barbeau, Aimee",3.86,A,0.4,,Barbeau
1370,BUS,101,284,1367,278,129,74,31,7,14,2,0,2,1,11,2,"Gunsalus, C K",3.82,A,0.36,,Gunsalus
1371,BUS,101,47,2511,501,203,135,38,26,19,4,4,5,2,7,7,"DeBrock, Lawrence M",3.82,A,0.38,,DeBrock
1372,BUS,199,26,4,1,1,0,0,0,0,0,0,0,0,0,0,"Lewis, Leslie C",3.97,A+,0.13,,Lewis
1373,BUS,199,11,56,19,11,3,1,0,0,0,0,1,0,0,0,"Baker, Colleen M",3.79,A,0.4,,Baker
1374,BUS,201,21,58,15,7,2,0,0,0,1,0,1,0,0,0,"White, Judith B",3.84,A,0.42,,White
1375,BUS,201,0,225,20,7,5,0,2,1,0,2,0,0,2,0,"Keating, Kari H",3.87,A,0.35,,Keating
1376,BUS,201,37,279,17,7,7,1,1,1,0,0,0,1,0,0,"Luckman, Elizabeth",3.93,A,0.29,,Luckman
1377,BUS,201,153,233,104,32,19,6,1,0,0,1,0,1,0,0,"Dahl, James G",3.84,A,0.33,,Dahl
1378,BUS,201,8,97,9,6,4,0,0,0,0,1,2,0,1,0,"Ji, Mingshuang",3.82,A,0.48,,Ji
1379,BUS,201,133,61,19,10,2,1,1,0,0,2,0,0,2,0,"Warnick, Emerson T",3.86,A+,0.33,,Warnick
1380,BUS,201,0,297,15,10,3,0,0,0,0,0,0,0,1,0,"Kim, Heejin",3.94,A,0.16,,Kim
1381,BUS,201,0,221,27,8,4,2,1,0,0,0,0,0,2,0,"Sanchez, Carmen J",3.88,A,0.24,,Sanchez
1382,BUS,301,0,87,8,1,1,0,0,0,0,0,0,0,0,0,"Noonan, James R",3.96,A,0.15,,Noonan
1383,BUS,301,5,205,20,5,3,0,0,0,0,0,2,0,0,0,"Keating, Kari H",3.92,A,0.32,,Keating
1384,BUS,301,9,35,0,0,3,0,0,0,0,0,0,0,0,0,"Kurtz, Jeffrey M",3.94,A,0.24,,Kurtz
