Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
ARTD,222,24,8,8,3,0,1,0,1,0,0,1,1,1,0
ARTD,225,0,8,19,5,15,6,0,4,0,1,1,0,2,0
ARTD,228,0,7,4,10,4,9,2,6,1,0,0,0,1,0
ARTD,251,13,17,19,8,7,7,5,4,2,0,1,0,9,0
ARTD,270,34,43,6,20,14,19,4,4,5,0,3,0,12,0
ARTD,299,24,31,5,2,3,0,1,2,1,0,1,0,0,0
ARTD,301,0,12,9,0,0,0,0,0,0,0,0,0,1,0
ARTD,313,1,22,4,7,4,0,0,0,0,0,0,0,0,0
ARTD,326,17,39,2,1,0,0,0,3,2,0,3,0,2,0
ARTD,328,7,20,14,13,4,1,0,0,0,0,0,0,0,0
ARTD,351,41,55,34,24,12,4,1,1,0,0,0,0,3,0
ARTD,371,4,23,14,9,4,4,1,0,0,0,0,0,0,0
ARTD,418,28,9,3,5,3,1,4,2,4,1,1,1,2,0
ARTD,445,3,7,15,8,1,2,0,0,0,0,0,0,0,0
ARTD,451,0,27,4,8,4,0,0,0,0,0,0,0,0,0
ARTD,471,4,9,5,7,3,0,0,0,0,0,0,0,0,0
ARTD,499,2,17,13,5,11,1,0,5,0,0,2,0,10,0
ARTF,101,0,345,98,66,63,20,21,31,5,3,17,1,32,1
ARTF,104,0,5,5,3,6,2,0,0,0,0,0,0,0,0
ARTH,110,4,22,18,11,16,7,0,1,2,0,0,1,3,0
ARTH,111,14,38,54,28,33,13,4,7,1,3,2,1,2,2
ARTH,112,4,34,31,14,12,15,4,8,6,2,1,1,3,0
ARTH,113,10,19,14,19,5,8,3,4,2,1,1,1,1,0
ARTH,114,0,8,11,5,18,6,6,2,5,0,0,0,2,0
ARTH,115,3,22,51,41,58,16,9,8,3,1,1,0,2,0
ARTH,299,1,5,7,5,8,3,1,0,0,0,0,0,1,0
ASRM,199,1,68,7,6,8,2,2,4,1,0,1,0,1,0
ASTR,100,1410,2984,1602,1194,1736,734,552,695,305,181,238,125,678,72
ASTR,122,20,38,3,4,5,0,0,0,0,0,0,0,0,0
ATMS,100,274,833,476,400,560,129,68,62,28,18,15,8,19,8
ATMS,120,2223,876,260,184,196,80,62,45,30,17,7,11,20,3
ATMS,491,6,5,3,4,0,2,1,0,0,0,0,0,0,0
BADM,199,0,88,2,2,1,0,0,0,0,0,0,0,0,0
