Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
ACCY,201,2,10,23,23,21,4,6,1,0,0,3,0,2,0,"Cantrell, Andrea M"
ACCY,201,1,8,11,19,4,10,10,4,2,0,7,0,0,0,"Lin, Jonathan T"
ACCY,201,9,4,11,4,6,6,7,5,4,0,6,0,5,0,"Chen, Monica S"
ACCY,201,7,20,20,24,28,31,10,8,7,0,7,0,5,2,"Braverman, Ian H"
ACCY,201,13,24,31,15,15,15,10,3,9,0,2,0,11,3,"Pollard, Robert C"
ACCY,201,44,28,30,16,8,12,6,4,2,0,2,0,4,0,"Hsu, Rita S"
ACCY,201,9,29,31,30,22,19,13,4,7,0,2,0,1,1,"Huang, John"
ACCY,201,5,10,14,10,9,7,14,5,3,0,1,0,0,0,"Jang, Paul H"
ACCY,201,6,11,9,1,5,1,5,4,7,0,8,0,3,2,"McDermott, John P"
ACCY,201,9,18,13,5,6,7,5,3,3,0,0,0,1,2,"Tong, Shuqing"
ACCY,201,5,14,18,8,14,5,7,7,1,0,2,0,1,1,"Silver, Paige R"
ACCY,201,2,6,9,3,3,2,4,4,1,0,7,0,3,0,"Ellison, Jennifer L"
ACCY,201,1,11,19,25,26,6,4,1,0,0,0,0,0,0,"Ledebuhr, Jeffrey R"
ACCY,201,46,20,34,14,14,8,8,4,2,0,0,0,0,0,"Lim, Young K"
ACCY,201,4,10,11,8,8,6,6,4,2,0,2,0,2,0,"Mammen, Gilbert G"
ACCY,201,40,36,30,12,8,16,4,4,4,0,2,0,2,0,"Flicher, Jordan A"
ACCY,201,9,11,14,7,6,3,1,1,1,0,3,0,2,0,"Mora, Bradley J"
ACCY,201,2,9,16,12,16,16,5,2,2,0,1,0,1,0,"Forsberg, Brian J"
ACCY,201,5,9,10,6,7,6,6,2,4,0,3,0,5,0,"Arends, Alyssa M"
ACCY,201,11,24,23,12,15,13,9,9,7,0,13,0,13,4,"Pietura, Magdalena"
ACCY,201,7,13,9,9,7,5,3,4,1,0,7,0,1,0,"Zhang, Fangye"
ACCY,201,6,23,21,16,18,4,6,2,2,0,1,0,0,0,"Daugherty, Mark P"
ACCY,201,24,47,26,24,12,11,8,3,2,0,4,0,1,0,"Lowry, Carolyn M"
ACCY,201,13,30,29,22,13,13,16,3,1,0,4,0,13,2,"Michelson, Mark J"
ACCY,201,21,27,27,20,20,13,12,7,4,0,15,0,4,4,"Jones, Brock A"
ACCY,202,6,30,6,33,30,11,12,8,4,0,3,0,1,3,"Ducker, Merik R"
ACCY,202,5,29,5,23,14,6,1,10,0,0,1,0,0,0,"Haupt, Elizabeth W"
ACCY,202,7,23,1,19,15,7,0,2,2,0,2,0,0,0,"Pelella, Andrea E"
ACCY,202,1,21,1,21,23,3,5,3,1,0,1,0,0,1,"Hamilton, Lori C"
ACCY,202,6,19,2,20,18,6,1,2,2,0,1,0,1,0,"Arvin, Kyle C"
ACCY,202,7,56,19,31,18,8,12,11,2,0,2,0,1,0,"Mulvihill, Brian J"
ACCY,202,7,19,4,15,11,4,8,1,2,0,0,0,0,0,"Lin, Jonathan T"
ACCY,202,15,9,0,26,9,9,2,4,0,0,1,0,2,0,"Foley, Paul R"
ACCY,202,6,27,20,38,29,12,8,3,1,0,2,0,2,1,"Lie, Jeane Natalia"
ACCY,202,4,17,1,21,18,5,3,2,3,0,0,0,0,0,"Ledvora, Joseph A"
ACCY,202,0,48,12,62,28,6,8,10,6,0,0,0,0,0,"Martin, Charles J"
ACCY,202,5,12,3,11,10,3,4,2,3,0,4,0,1,1,"Christiansen, Ryan S"
ACCY,202,9,15,2,6,24,6,3,1,1,0,0,0,0,0,"Li, Xiongjie"
ACCY,202,5,23,1,15,16,4,6,2,4,0,0,0,0,0,"Smigielski, Michael A"
ACCY,202,0,34,4,18,14,1,2,1,1,0,0,0,0,0,"Patzik, Benjamin M"
ACCY,202,3,15,2,12,22,5,4,13,2,0,0,0,0,0,"Foley, John M"
ACCY,202,0,13,0,18,13,6,2,1,2,0,1,0,2,0,"Shanahan, Michael J"
ACCY,202,6,13,2,13,10,8,6,2,3,0,2,0,0,1,"Valentine, Courtney M"
ACCY,202,3,17,4,9,13,6,4,4,0,0,0,0,0,0,"Kwon, Jieun"
ACCY,202,3,10,4,21,11,4,4,3,2,0,0,0,0,0,"Chen, Monica S"
ACCY,202,2,14,1,6,4,0,2,3,1,0,0,0,0,0,"Siebert, Julia E"
ACCY,202,5,47,10,28,36,7,6,8,2,0,1,0,0,0,"Bradley, Kellie R"
ACCY,202,4,12,1,10,16,3,2,1,0,0,1,0,0,1,"Bobbitt, Lindsay L"
ACCY,202,5,43,8,35,44,10,9,7,2,0,1,0,0,1,"Michael, David W"
ACCY,202,3,19,3,30,18,4,2,5,1,0,0,0,0,0,"Miller, Michael J"
ACCY,202,2,22,5,18,9,5,0,4,2,0,1,0,1,1,"McNamara, Sean M"
ACCY,202,5,17,3,18,3,8,2,5,1,0,1,0,0,0,"Koziel, Mark C"
ACCY,202,8,13,5,8,18,1,4,2,2,0,1,0,0,0,"McDermott, John P"
ACCY,202,12,25,14,33,24,6,16,14,4,0,1,0,1,3,"Shen, Haoqing"
ACCY,202,5,35,15,30,29,6,8,9,10,0,5,0,1,1,"Le, Nga H"
ACCY,202,8,15,2,18,9,3,2,1,2,0,0,0,1,2,"Tong, Shuqing"
ACCY,202,7,17,3,23,20,2,3,1,2,0,2,0,0,0,"Jang, Paul H"
ACCY,202,8,11,2,22,9,9,3,1,2,0,2,0,1,1,"Waddock, Madeleine K"
