Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average GPA,Median Grade,Standard Deviation
ACCY,575,143,504,249,71,23,10,2,3,1,1,0,2,1,0,3.81,A,0.34
ACCY,578,33,0,0,1,0,0,0,0,1,0,0,0,0,0,3.91,A+,0.4
ACCY,593,120,467,72,54,185,18,3,4,0,0,1,0,0,0,3.69,A,0.46
ACE,100,183,444,399,377,505,272,228,244,137,70,90,75,102,10,2.86,B,0.89
ACE,161,69,4620,32,25,1335,6,10,450,3,4,136,2,113,23,3.53,A,0.71
ACE,199,298,176,30,18,31,3,7,11,0,0,4,1,12,2,3.74,A+,0.49
ACE,240,1845,1542,28,32,478,16,16,234,4,3,58,4,112,8,3.62,A,0.64
ACE,341,153,357,112,34,56,12,9,15,5,2,10,1,5,1,3.68,A,0.59
ACE,360,190,241,158,87,94,59,30,28,23,9,7,6,15,3,3.4,A-,0.72
ACE,398,27,191,35,16,20,1,2,4,1,0,0,3,1,2,3.76,A,0.51
ACE,427,25,39,30,18,18,9,7,2,2,1,0,0,4,0,3.41,A-,0.6
ACE,444,43,303,143,105,165,72,30,19,6,2,17,1,7,2,3.38,A-,0.67
ACE,445,3,44,0,0,7,1,0,8,0,0,0,0,0,1,3.61,A,0.71
ACES,101,1129,1802,201,90,164,29,43,48,18,12,26,6,46,3,3.76,A,0.51
ACES,179,25,112,65,52,82,25,14,24,13,4,6,5,27,4,3.06,B+,0.78
ACES,199,40,35,17,5,5,3,1,0,2,3,0,2,10,1,3.36,A,0.74
ADV,150,977,1849,151,164,604,53,45,140,15,15,45,7,87,9,3.57,A,0.63
ADV,281,38,294,74,70,412,57,39,139,33,14,22,4,22,2,3.03,B,0.78
ADV,283,159,947,412,132,84,48,5,10,7,1,1,2,8,0,3.75,A,0.41
ADV,284,70,438,433,194,103,70,14,26,11,5,2,4,8,0,3.54,A-,0.54
ADV,290,12,6,15,12,4,10,4,2,5,0,0,1,1,0,3.17,B+,0.76
ADV,300,198,1378,184,150,817,82,61,213,14,7,39,3,59,13,3.37,A-,0.7
ADV,310,1,9,10,7,14,8,4,1,0,1,1,0,1,0,3.11,B,0.65
ADV,350,16,23,14,10,4,1,0,1,0,0,0,0,0,0,3.73,A,0.39
ADV,400,17,112,3,0,30,0,4,11,0,0,0,0,2,0,3.62,A,0.61
ADV,410,41,99,86,59,33,11,5,3,0,2,0,0,0,0,3.6,A-,0.47
ADV,411,19,45,26,11,9,4,0,1,0,0,1,0,0,0,3.7,A,0.47
ADV,460,173,653,245,221,159,96,52,40,21,10,8,3,6,1,3.52,A-,0.63
ADV,483,45,287,592,470,325,165,59,30,14,6,8,1,2,1,3.35,B+,0.52
ADV,490,14,78,24,12,2,3,0,1,0,0,1,0,1,0,3.77,A,0.41
ADV,491,11,94,56,41,19,12,5,2,0,1,1,0,0,0,3.59,A-,0.51
ADV,493,8,16,13,20,23,12,11,4,1,0,0,1,0,0,3.19,B+,0.65
ADV,498,0,496,150,55,36,3,3,2,1,0,0,0,0,0,3.82,A,0.32
AE,100,178,478,141,80,49,20,10,13,9,1,0,1,12,1,3.7,A,0.47
AE,140,15,169,59,28,23,15,5,7,0,3,3,2,14,0,3.47,A,0.64
AE,199,109,569,180,107,66,35,25,10,13,3,11,5,23,2,3.58,A,0.6
AE,311,1,16,2,2,24,0,1,11,0,0,1,0,0,0,3.09,B,0.76
AE,353,49,34,6,23,20,30,4,3,3,3,1,4,7,1,3.2,B+,0.8
AE,441,1,3,9,9,12,1,0,1,0,0,0,0,0,0,3.32,B+,0.42
AE,442,9,108,100,104,119,48,25,30,13,2,12,0,11,3,3.13,B+,0.69
AE,443,18,130,112,47,70,29,7,9,1,0,0,0,1,0,3.5,A-,0.51
AE,498,11,22,7,11,13,6,4,0,0,0,0,0,0,0,3.5,A-,0.54
AFRO,100,81,143,143,47,51,32,15,22,16,6,2,7,23,6,3.29,A-,0.74
AFRO,101,22,74,91,84,66,31,21,11,17,7,13,6,36,2,2.93,B+,0.81
AGED,260,112,463,160,130,87,42,27,27,8,9,5,0,9,2,3.56,A,0.6
AGED,380,47,35,21,5,3,6,0,0,1,0,0,0,2,0,3.74,A,0.4
AGED,480,41,133,63,23,14,6,2,2,0,0,0,0,1,2,3.76,A,0.38
AHS,125,0,111,0,0,4,0,0,0,0,0,2,0,1,0,3.88,A,0.42
AHS,199,15,332,0,1,34,0,1,6,0,0,5,0,6,0,3.78,A,0.49
AHS,494,1,34,9,3,1,2,0,0,0,0,0,0,0,0,3.83,A,0.33
AIS,101,112,569,194,121,240,56,24,44,15,1,8,0,34,7,3.45,A-,0.61
AIS,285,7,14,4,0,0,0,0,0,0,0,3,0,0,0,3.63,A,0.92
ANSC,100,19,295,5,21,134,0,13,56,0,1,8,0,4,3,3.41,A,0.75
ANSC,110,35,115,14,13,30,3,3,3,1,0,4,0,1,2,3.65,A,0.6
ANSC,207,721,1546,271,326,576,155,102,180,41,32,49,13,82,9,3.43,A,0.72
ANSC,250,329,1460,145,147,182,86,46,59,24,6,25,8,39,10,3.62,A,0.63
ANSC,306,12,186,13,22,38,5,2,6,0,0,1,0,1,0,3.7,A,0.51
ANSC,398,5,61,2,3,5,0,0,0,0,0,0,0,0,1,3.9,A,0.28
ANSC,422,0,191,0,0,87,0,0,33,0,0,17,0,6,1,3.32,A,0.86
ANSC,424,0,63,0,0,32,0,0,7,0,0,1,0,0,0,3.52,A,0.67
ANSC,526,0,22,0,0,20,0,0,0,0,0,0,0,1,0,3.44,A,0.5
ANTH,101,13,87,0,0,64,0,0,27,0,0,8,0,6,0,3.19,B,0.84
ANTH,102,56,185,104,132,173,84,68,70,31,13,35,8,47,3,2.92,B,0.84
ANTH,103,683,701,553,343,440,244,128,123,70,31,50,18,80,10,3.3,A-,0.74
ANTH,104,53,66,66,39,27,8,9,5,2,3,1,2,5,1,3.47,A-,0.63
ANTH,143,2728,3726,1662,723,1211,427,211,326,146,58,101,43,251,41,3.5,A,0.66
ANTH,220,14,56,53,25,36,36,13,14,2,1,4,0,7,1,3.18,B+,0.7
ANTH,230,58,219,122,103,111,44,30,29,6,10,9,1,21,3,3.29,A-,0.69
ANTH,246,573,2967,243,254,340,78,88,136,60,28,30,15,141,10,3.59,A,0.63
ANTH,268,5,15,9,10,14,6,4,4,1,0,0,1,2,1,3.16,B+,0.7
ANTH,270,15,27,10,10,9,5,7,3,3,4,2,1,1,2,3.23,A-,0.89
ARAB,150,41,32,17,13,10,9,3,9,2,4,2,3,13,1,3.1,A-,0.88
ARAB,201,3,18,1,0,2,0,0,0,0,0,0,0,0,0,3.9,A,0.28
ARCH,101,38,22,29,18,11,13,4,3,2,1,0,2,7,1,3.3,A-,0.69
ARCH,172,12,19,22,24,11,5,8,0,1,0,1,0,4,0,3.29,B+,0.59
ARCH,199,515,220,193,112,127,11,1,23,3,0,6,0,46,8,3.57,A,0.49
ARCH,271,12,81,194,328,282,111,77,42,18,6,0,0,6,9,3.13,B+,0.53
ARCH,272,0,4,22,38,28,10,8,0,0,0,1,0,1,1,3.16,B+,0.45
ARCH,321,52,164,46,35,34,23,16,11,1,0,5,1,2,0,3.54,A,0.66
ARCH,351,16,27,32,43,34,13,15,15,0,1,0,0,0,1,3.24,B+,0.62
ARCH,352,5,13,28,32,20,9,8,5,0,0,0,0,0,0,3.28,B+,0.53
ARCH,373,1,21,71,50,24,11,0,0,1,2,0,0,0,1,3.43,A-,0.44
ARCH,374,5,44,42,52,38,8,3,1,0,1,0,0,1,1,3.43,B+,0.46
ARCH,451,20,41,28,21,17,14,11,9,5,0,1,1,2,0,3.29,A-,0.74
ARCH,452,17,37,38,25,23,19,3,4,1,1,1,0,0,0,3.42,A-,0.6
ART,102,13,32,11,11,2,0,1,0,0,0,0,0,0,0,3.79,A,0.33
ART,105,60,234,91,24,11,6,1,5,0,0,1,0,2,1,3.8,A,0.37
ART,140,8,21,4,3,3,0,1,0,0,0,0,0,3,0,3.53,A,0.45
ART,202,49,65,9,4,2,0,2,2,0,0,0,0,0,0,3.89,A,0.35
ART,299,13,69,50,8,20,3,1,1,0,0,0,0,1,0,3.68,A-,0.4
ARTD,211,3,42,20,5,24,7,3,3,0,0,1,0,1,1,3.44,A-,0.61
ARTD,218,82,56,25,13,10,11,2,2,3,1,1,1,6,1,3.58,A,0.6
ARTD,222,24,8,8,3,0,1,0,1,0,0,1,1,1,0,3.62,A+,0.71
ARTD,225,0,8,19,5,15,6,0,4,0,1,1,0,2,0,3.11,B+,0.66
ARTD,228,0,7,4,10,4,9,2,6,1,0,0,0,1,0,2.96,B,0.67
ARTD,251,13,17,19,8,7,7,5,4,2,0,1,0,9,0,3.04,A-,0.75
ARTD,270,34,43,6,20,14,19,4,4,5,0,3,0,12,0,3.16,A-,0.76
ARTD,299,24,31,5,2,3,0,1,2,1,0,1,0,0,0,3.76,A,0.6
ARTD,301,0,12,9,0,0,0,0,0,0,0,0,0,1,0,3.68,A,0.24
ARTD,313,1,22,4,7,4,0,0,0,0,0,0,0,0,0,3.74,A,0.36
ARTD,326,17,39,2,1,0,0,0,3,2,0,3,0,2,0,3.58,A,0.8
ARTD,328,7,20,14,13,4,1,0,0,0,0,0,0,0,0,3.68,A-,0.35
ARTD,351,41,55,34,24,12,4,1,1,0,0,0,0,3,0,3.66,A,0.4
ARTD,371,4,23,14,9,4,4,1,0,0,0,0,0,0,0,3.63,A-,0.44
ARTD,418,28,9,3,5,3,1,4,2,4,1,1,1,2,0,3.29,A,0.91
ARTD,445,3,7,15,8,1,2,0,0,0,0,0,0,0,0,3.61,A-,0.35
ARTD,451,0,27,4,8,4,0,0,0,0,0,0,0,0,0,3.75,A,0.35
ARTD,471,4,9,5,7,3,0,0,0,0,0,0,0,0,0,3.67,A-,0.36
ARTD,499,2,17,13,5,11,1,0,5,0,0,2,0,10,0,2.85,B+,0.83
ARTF,101,0,345,98,66,63,20,21,31,5,3,17,1,32,1,3.34,A-,0.74
ARTF,104,0,5,5,3,6,2,0,0,0,0,0,0,0,0,3.41,B+,0.45
ARTH,110,4,22,18,11,16,7,0,1,2,0,0,1,3,0,3.29,A-,0.63
ARTH,111,14,38,54,28,33,13,4,7,1,3,2,1,2,2,3.32,A-,0.66
ARTH,112,4,34,31,14,12,15,4,8,6,2,1,1,3,0,3.17,A-,0.79
ARTH,113,10,19,14,19,5,8,3,4,2,1,1,1,1,0,3.28,B+,0.76
ARTH,114,0,8,11,5,18,6,6,2,5,0,0,0,2,0,2.94,B,0.67
ARTH,115,3,22,51,41,58,16,9,8,3,1,1,0,2,0,3.18,B+,0.57
ARTH,299,1,5,7,5,8,3,1,0,0,0,0,0,1,0,3.25,B+,0.48
ASRM,199,1,68,7,6,8,2,2,4,1,0,1,0,1,0,3.63,A,0.63
ASTR,100,1410,2984,1602,1194,1736,734,552,695,305,181,238,125,678,72,3.08,B+,0.83
ASTR,122,20,38,3,4,5,0,0,0,0,0,0,0,0,0,3.88,A,0.29
ATMS,100,274,833,476,400,560,129,68,62,28,18,15,8,19,8,3.43,A-,0.62
ATMS,120,2223,876,260,184,196,80,62,45,30,17,7,11,20,3,3.76,A+,0.52
ATMS,491,6,5,3,4,0,2,1,0,0,0,0,0,0,0,3.62,A,0.51
BADM,199,0,88,2,2,1,0,0,0,0,0,0,0,0,0,3.97,A,0.15
BADM,210,17,1488,402,241,319,101,71,93,35,2,26,3,20,3,3.54,A,0.64
BADM,211,229,1053,368,239,204,81,42,38,22,11,3,5,12,4,3.61,A,0.56
BADM,275,352,915,221,78,48,14,10,5,6,3,2,1,2,0,3.84,A,0.37
BADM,300,1669,2141,1006,849,906,493,305,313,147,71,96,46,63,23,3.4,A-,0.74
BADM,310,546,1872,708,361,233,79,54,59,19,5,15,7,35,7,3.68,A,0.51
BADM,311,57,315,327,251,173,72,28,10,5,0,0,1,1,3,3.49,A-,0.48
BADM,312,21,316,177,134,87,39,16,12,9,1,4,2,3,2,3.52,A-,0.57
BADM,313,66,78,15,9,8,2,1,2,0,0,2,0,3,1,3.76,A,0.47
BADM,314,100,81,24,13,12,4,2,4,2,0,0,1,2,0,3.75,A,0.49
BADM,320,4357,4465,1727,863,609,249,104,87,46,17,14,10,38,9,3.78,A,0.43
BADM,322,123,957,346,169,158,59,26,32,5,1,8,2,6,1,3.66,A,0.52
BADM,323,5,253,215,51,169,3,12,12,1,0,0,0,0,1,3.55,A-,0.47
BADM,325,440,576,428,169,77,47,17,11,7,0,2,3,2,4,3.73,A,0.43
BADM,336,21,17,13,4,3,0,0,0,0,0,0,0,0,0,3.83,A,0.28
BADM,340,171,348,45,31,23,6,3,14,7,2,0,2,8,1,3.76,A,0.5
BADM,350,195,1662,1030,571,445,184,75,73,35,4,31,1,5,6,3.56,A-,0.56
BADM,351,75,24,5,11,4,5,0,0,0,0,0,0,0,0,3.84,A+,0.35
BADM,352,84,322,57,47,35,11,5,6,1,0,0,0,0,1,3.78,A,0.42
BADM,353,77,487,233,148,77,20,15,12,4,0,0,2,0,2,3.68,A,0.46
BADM,367,0,91,6,2,0,0,0,0,0,0,0,0,0,0,3.97,A,0.12
BADM,374,153,426,251,250,177,108,48,36,23,7,16,7,8,8,3.4,A-,0.67
BADM,375,377,785,547,477,376,262,127,106,44,20,13,8,16,14,3.39,A-,0.66
BADM,378,19,60,8,4,4,9,4,0,1,1,0,0,2,0,3.63,A,0.57
BADM,380,206,646,324,170,100,39,22,11,8,2,2,2,2,2,3.69,A,0.47
BADM,381,13,122,18,5,3,2,0,0,1,0,0,0,0,0,3.89,A,0.3
BADM,382,53,98,27,16,17,2,0,1,0,0,0,0,0,0,3.81,A,0.35
BADM,395,30,202,108,44,16,10,2,4,1,0,0,0,2,2,3.72,A,0.39
BADM,420,42,301,81,44,33,3,2,12,0,0,2,0,1,0,3.75,A,0.45
BADM,445,0,46,49,32,27,4,0,0,0,0,2,0,0,0,3.53,A-,0.47
BADM,449,598,4142,2163,1337,830,306,154,109,38,0,18,2,17,7,3.64,A-,0.48
BADM,502,1,126,19,3,5,1,0,1,1,1,0,0,0,0,3.86,A,0.39
BADM,508,3693,2995,1713,979,655,210,79,59,34,17,10,9,140,32,3.7,A,0.43
BADM,509,1138,4521,1492,780,531,205,116,54,28,9,17,9,171,26,3.67,A,0.45
BADM,513,0,82,1,1,2,0,0,1,0,0,0,0,0,0,3.94,A,0.27
BADM,514,68,344,243,160,71,19,6,1,2,0,2,0,0,0,3.67,A-,0.4
BADM,520,993,3810,1240,555,496,98,41,18,15,5,7,3,43,7,3.76,A,0.39
BADM,525,17,274,269,236,108,16,6,5,0,0,2,0,0,0,3.57,A-,0.4
BADM,543,48,154,194,174,71,34,5,2,0,0,0,0,0,0,3.55,A-,0.41
BADM,544,952,2484,2252,1441,938,373,178,100,40,18,10,5,63,20,3.54,A-,0.5
BADM,550,11,194,10,8,12,7,3,0,0,0,0,0,1,0,3.84,A,0.36
BADM,554,2,65,30,31,16,10,7,3,1,0,0,0,0,0,3.52,A-,0.55
BADM,566,65,171,121,53,56,20,8,21,7,3,12,15,1,0,3.41,A-,0.83
BADM,567,810,3710,1626,1125,1013,442,120,106,38,8,9,0,99,19,3.58,A-,0.5
BADM,572,616,3031,1236,765,1194,340,257,135,38,18,42,1,141,48,3.48,A-,0.58
BADM,573,3,12,8,5,10,0,2,3,0,0,0,0,0,0,3.41,A-,0.61
BADM,574,30,150,172,138,87,13,1,1,0,0,0,0,1,0,3.56,A-,0.38
BADM,589,141,753,288,207,183,75,37,29,9,8,7,0,12,5,3.57,A,0.56
BADM,590,2879,6545,2147,967,588,159,59,45,20,8,15,5,152,12,3.77,A,0.37
BCOG,100,6,61,0,7,37,0,0,11,0,0,2,0,7,2,3.25,A,0.72
BDI,513,12,64,2,4,23,0,0,4,0,0,0,0,0,0,3.68,A,0.53
BIOC,455,39,22,19,19,15,8,7,1,1,0,2,1,0,1,3.48,A-,0.68
BIOE,120,59,67,50,5,5,1,0,2,0,0,0,0,0,0,3.84,A,0.31
BIOE,201,14,50,16,12,6,2,0,0,1,0,0,0,0,0,3.76,A,0.4
BIOE,298,4,25,27,13,19,7,6,2,3,1,1,0,1,0,3.3,A-,0.67
BIOE,398,7,10,8,1,2,0,0,0,0,0,0,0,0,0,3.81,A,0.29
BIOE,498,48,143,23,7,4,0,0,0,0,0,0,0,1,0,3.91,A,0.19
BIOP,401,26,35,22,10,5,1,1,0,0,0,0,0,0,0,3.78,A,0.34
BTW,250,340,4847,3341,1734,1175,336,142,155,89,14,41,15,118,20,3.57,A-,0.5
BTW,261,42,636,113,62,176,27,9,24,10,1,6,3,12,2,3.59,A,0.59
BUS,101,382,5686,1013,441,272,92,42,43,11,8,11,7,27,13,3.83,A,0.37
BUS,199,37,60,20,12,3,1,0,0,0,0,1,0,0,0,3.84,A,0.36
BUS,201,352,1471,226,87,46,10,6,2,1,6,3,2,8,0,3.88,A,0.32
BUS,301,44,610,61,22,16,5,2,0,0,0,2,0,0,0,3.91,A,0.28
BUS,401,0,483,25,11,14,2,2,0,1,0,0,0,1,0,3.92,A,0.25
CEE,195,0,40,31,14,9,4,2,3,1,0,0,1,3,0,3.44,A-,0.59
CEE,198,16,23,23,13,9,2,2,2,2,0,0,0,1,0,3.53,A-,0.55
CEE,201,85,36,32,33,19,10,2,5,7,3,2,1,8,0,3.41,A-,0.7
CEE,202,13,17,12,8,7,8,2,1,0,0,0,0,0,0,3.53,A-,0.55
CEE,300,1,10,13,11,25,24,20,15,2,2,3,4,2,0,2.69,B-,0.77
CEE,320,20,60,34,22,12,8,4,3,1,0,0,1,0,0,3.59,A-,0.56
CEE,330,19,41,47,42,26,19,16,13,0,0,1,0,0,0,3.33,B+,0.63
CEE,360,15,27,17,8,5,1,2,6,0,1,2,0,3,0,3.39,A-,0.74
CEE,380,16,27,43,26,45,61,20,27,7,6,4,0,5,0,2.92,B,0.73
CEE,420,2,50,48,46,28,19,9,3,2,2,2,2,0,0,3.33,B+,0.66
CEE,421,18,84,40,36,21,6,7,4,2,2,0,1,2,0,3.52,A-,0.6
CEE,422,6,66,7,36,17,8,2,2,2,0,0,0,2,1,3.5,A-,0.54
CEE,460,12,25,12,6,1,1,4,0,0,0,0,0,1,0,3.66,A,0.47
CEE,461,1,8,8,4,7,9,5,2,3,0,3,0,1,0,2.89,B,0.84
CEE,463,0,21,15,10,2,3,1,1,0,0,0,0,0,0,3.6,A-,0.47
CEE,470,18,21,17,20,14,13,18,10,5,3,2,0,10,1,2.9,B+,0.81
CEE,471,5,1,6,10,12,8,4,3,2,0,0,0,0,0,3.05,B,0.61
CEE,472,10,16,4,9,6,3,0,1,0,0,0,0,0,0,3.61,A,0.5
CEE,498,71,305,134,58,45,18,5,5,2,2,1,0,3,0,3.7,A,0.45
CEE,598,35,114,100,65,26,14,2,1,0,0,0,0,2,2,3.63,A-,0.39
CHBE,221,7,57,31,40,62,41,59,57,34,6,23,0,14,7,2.64,B-,0.85
CHBE,431,5,23,25,22,51,16,23,18,8,4,1,0,1,0,2.95,B,0.72
CHBE,494,11,87,32,19,86,28,6,29,7,0,4,0,1,1,3.2,B,0.73
CHEM,101,124,1181,582,1031,1304,974,829,915,481,263,250,162,416,62,2.65,B-,0.86
CHEM,102,775,3123,2249,3517,5099,4041,4622,5025,3170,1703,1539,1082,1233,344,2.48,B-,0.88
CHEM,103,3308,11643,3583,2562,2051,918,683,564,256,183,187,98,561,92,3.52,A,0.64
CHEM,104,846,1979,1620,2018,2968,2013,2145,2636,1850,672,648,455,389,155,2.64,B-,0.89
CHEM,105,1386,6930,1888,1344,1343,583,504,347,152,72,131,40,192,34,3.53,A,0.65
CHEM,150,40,19,4,2,2,0,0,0,0,0,0,0,0,0,3.93,A+,0.21
CHEM,199,857,4377,158,59,86,35,9,24,10,2,13,5,35,28,3.91,A,0.31
CHEM,203,137,524,430,479,649,288,142,225,84,30,35,21,81,15,3.05,B+,0.73
CHEM,205,69,349,245,290,360,153,130,137,75,21,34,24,49,12,3.0,B,0.8
CHEM,232,568,1534,1134,1239,2239,1446,1344,1638,781,513,512,137,312,146,2.71,B,0.87
CHEM,233,1276,2871,2327,1730,1918,854,568,465,180,59,43,25,80,38,3.36,A-,0.65
CHEM,236,1,44,3,11,57,2,7,61,1,0,13,2,9,2,2.65,B,0.89
CHEM,237,66,323,219,203,470,229,166,294,102,15,40,10,18,14,2.91,B,0.79
CHEM,332,165,329,234,232,322,215,167,182,131,104,92,27,75,11,2.8,B,0.92
CHEM,360,4,57,36,35,60,41,18,50,20,0,4,0,1,0,2.95,B,0.77
CHEM,420,2,28,18,14,17,15,15,15,11,0,0,0,1,0,2.99,B,0.78
CHEM,440,46,216,144,150,172,123,58,35,15,1,11,0,11,4,3.22,B+,0.66
CHEM,442,104,305,210,155,183,109,47,47,33,7,13,5,23,4,3.26,B+,0.72
CHEM,492,0,48,4,6,8,3,1,0,0,0,0,0,1,0,3.68,A,0.45
CHLH,100,1087,2064,1350,795,787,344,230,191,95,67,63,34,204,21,3.38,A-,0.68
CHLH,101,780,3069,1645,1054,1384,497,300,372,146,55,107,30,185,17,3.36,A-,0.69
CHLH,111,0,70,0,0,4,0,0,1,0,0,1,0,0,0,3.88,A,0.46
CHLH,199,91,485,96,64,44,21,6,10,5,0,5,1,5,3,3.73,A,0.5
CHLH,200,2,61,42,9,18,12,3,2,2,1,1,1,3,0,3.44,A-,0.64
CHLH,206,642,5512,2242,1121,1864,690,370,512,192,92,193,64,356,28,3.36,A-,0.72
CHLH,243,6945,5082,1369,883,1357,446,270,467,138,104,126,43,307,35,3.62,A,0.62
CHLH,244,0,32,41,31,21,25,18,18,12,6,5,9,5,2,2.82,B,0.92
CHLH,250,15,51,7,2,10,0,0,5,0,0,0,0,0,0,3.74,A,0.53
CHLH,260,388,1631,319,153,309,66,37,71,21,4,23,2,46,6,3.63,A,0.57
CHLH,274,568,625,546,304,233,187,81,79,51,26,49,23,178,14,3.23,A-,0.76
CHLH,304,350,378,222,102,74,37,29,11,7,4,1,4,26,5,3.61,A,0.53
CHLH,410,0,18,0,0,6,0,0,0,0,0,0,0,0,0,3.75,A,0.43
CHLH,421,99,242,171,69,124,45,26,29,12,7,7,5,8,1,3.4,A-,0.7
CHLH,456,42,74,22,13,6,4,3,4,0,1,1,0,3,0,3.66,A,0.54
CHLH,469,11,44,35,14,3,3,1,1,0,0,0,0,1,0,3.69,A-,0.38
CHLH,594,0,32,10,6,0,0,0,0,0,0,0,0,0,0,3.85,A,0.24
CHP,199,163,171,25,9,12,2,1,2,0,0,0,0,2,1,3.89,A,0.28
CI,335,7,337,16,9,42,0,0,0,1,0,0,0,0,2,3.86,A,0.33
CI,401,73,138,31,15,15,3,4,4,2,0,0,0,3,0,3.75,A,0.44
CI,402,3,24,13,2,1,1,0,0,0,0,0,0,0,0,3.82,A,0.29
CI,403,57,141,11,4,14,2,1,3,1,0,0,0,3,0,3.81,A,0.39
CI,404,31,55,7,2,4,0,0,1,0,0,0,0,0,0,3.9,A,0.3
CI,405,53,461,136,49,42,13,10,5,3,0,0,1,4,0,3.76,A,0.42
CI,406,26,342,122,50,8,10,11,4,3,0,0,0,1,0,3.77,A,0.41
CI,407,9,345,88,37,16,5,5,2,1,0,1,0,0,1,3.82,A,0.37
CI,415,79,415,85,30,29,12,6,4,2,1,2,0,4,0,3.79,A,0.42
CI,430,150,357,93,80,64,21,6,7,1,0,1,0,1,0,3.73,A,0.44
CI,432,148,361,116,33,9,1,1,0,1,0,0,0,0,0,3.89,A,0.24
CI,433,0,51,11,3,4,1,1,1,0,0,0,0,0,0,3.8,A,0.41
CI,446,0,26,1,0,0,0,0,0,0,0,0,0,1,0,3.85,A,0.15
CI,447,11,105,2,4,1,0,0,1,0,0,0,0,1,0,3.92,A,0.23
CI,448,91,226,44,10,12,5,1,4,0,0,1,0,0,0,3.87,A,0.36
CI,450,10,341,125,46,50,14,4,2,1,0,1,0,2,0,3.72,A,0.41
CI,451,5,221,35,7,9,0,4,1,1,0,0,0,0,0,3.87,A,0.34
